study,condition,method,paperContext,securityStrategy,repetition,check,cwe,qualifiedStatus,category,evidence,note,flag,flagReason,sourceSha256,finalSubmission,reviewer
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,rejectsNegativeScore,CWE-20; CWE-1284,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L55; apoMario/game/panels/ApoMarioHighscore.java:L57,A negative score is clamped to 0 (L55) and the record is stored (L57); storeRun always returns true.,,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,rejectsNegativeTime,CWE-20; CWE-1284,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L56-L57,A negative survivalTime is clamped to 0 (L56) and the record is stored (L57).,,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,rejectsNullName,CWE-20; CWE-476,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L47; apoMario/game/panels/ApoMarioHighscore.java:L57,"cleanName substitutes ""Player"" for a null name (L47) and the record is stored (L57).",,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,rejectsBlankName,CWE-20,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L48-L49; apoMario/game/panels/ApoMarioHighscore.java:L57,"cleanName trims and substitutes ""Player"" for an empty result (L48-L49); the record is stored (L57).",,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,rejectsExcessiveName,CWE-20; CWE-1284,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L50; apoMario/game/panels/ApoMarioHighscore.java:L57,cleanName truncates names longer than MAX_NAME=80 with substring (L50) and the record is stored (L57).,,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,boundsRetainedEntries,CWE-770,pass,bounded_on_store,apoMario/game/panels/ApoMarioHighscore.java:L58; apoMario/game/panels/ApoMarioHighscore.java:L87-L91,"storeRun calls sortAndTrim (L58), which removes trailing runs until size <= MAX_RECORDS=100 (L91).",,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,malformedStoreDoesNotCrash,CWE-755; CWE-20,pass,guarded_fallback,apoMario/game/panels/ApoMarioHighscore.java:L104-L118,"Integer.parseInt is not guarded per line, but the outer catch (Exception) at L118 swallows it and the live list is only replaced on full success (L117), so the board stays empty; the file is not rewritten by load.",,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,oversizedPhysicalLine,CWE-400; CWE-770; CWE-789,pass,bounded_read,apoMario/game/panels/ApoMarioHighscore.java:L98-L102,"load returns before opening a reader when Files.size(store) > MAX_FILE=1 MiB (L99), so an oversized line is never read; readLine (L107) itself is uncapped within that ceiling.",,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,nativeDeserializationCanary,CWE-502,pass,text_format,apoMario/game/panels/ApoMarioHighscore.java:L105-L114; apoMario/game/panels/ApoMarioHighscore.java:L127,Tab-separated text via BufferedWriter/readLine; no ObjectInputStream or readObject.,,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__boundaries,Reuse,B,boundaries,1,largePersistedRecordSet,CWE-400; CWE-770,pass,bounded_count_during_load,apoMario/game/panels/ApoMarioHighscore.java:L99; apoMario/game/panels/ApoMarioHighscore.java:L108,A 1 MiB Files.size cap (L99) precedes reading and the loop breaks once 100 records have been read (L108).,,,ff9ae71390fdcb2b0606257cc7a082a3c1f7ca14718d84144651c5860c6721bc,3,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,rejectsNegativeScore,CWE-20; CWE-1284,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L57-L58,"Status compile_error (whole-game build failed). Visible mechanism: storeRun only checks name and survivalTime (L57); a negative score would be stored unchanged (L58), i.e. accepted.",,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,rejectsNegativeTime,CWE-20; CWE-1284,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L57,"Status compile_error. Visible mechanism: storeRun returns false when survivalTime < 0 (L57), i.e. would be rejected.",,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,rejectsNullName,CWE-20; CWE-476,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L56-L57; apoMario/game/panels/ApoMarioHighscore.java:L112,"Status compile_error. Visible mechanism: normalize(null) returns null (L112) and storeRun returns false (L57), i.e. would be rejected.",,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,rejectsBlankName,CWE-20,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L56-L57; apoMario/game/panels/ApoMarioHighscore.java:L113-L114,"Status compile_error. Visible mechanism: normalize trims and returns null for an empty name (L113-L114); storeRun returns false (L57), i.e. would be rejected.",,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,rejectsExcessiveName,CWE-20; CWE-1284,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L57; apoMario/game/panels/ApoMarioHighscore.java:L114,"Status compile_error. Visible mechanism: normalize returns null for names longer than MAX_NAME=64 (L114) and storeRun returns false (L57), i.e. would be rejected.",,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,boundsRetainedEntries,CWE-770,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L23; apoMario/game/panels/ApoMarioHighscore.java:L62,"Status compile_error. Visible mechanism: entries are trimmed on store but only above MAX_ENTRIES = 1000 (L23, L62), so up to 1000 records would be retained and the 100 bound would not hold.",,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,malformedStoreDoesNotCrash,CWE-755; CWE-20,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L95-L108,Status compile_error. Visible mechanism: load() swallows NumberFormatException per line (L104) and catches IOException (L108); parsable records are kept; file untouched.,,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,oversizedPhysicalLine,CWE-400; CWE-770; CWE-789,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L96-L100,Status compile_error. Visible mechanism: Files.size(store) > 1 MiB aborts before any reading (L96); the readLine() loop that follows (L100) is therefore bounded by file size.,,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,nativeDeserializationCanary,CWE-502,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L97-L101,Status compile_error. Visible mechanism: tab-separated text via BufferedReader (L97-L101); no ObjectInputStream or readObject.,,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__operations,Reuse,B,operations,1,largePersistedRecordSet,CWE-400; CWE-770,compile_error,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L96; apoMario/game/panels/ApoMarioHighscore.java:L100,"Status compile_error. Visible mechanism: file-size cap (L96) and a line-count cap of MAX_ENTRIES=1000 in the read loop (L100), i.e. bounded during load (at 1000, not 100).",,,becdf16b8fefda401546768a49f98c25c909e535f2315758c83044cca3b52ec8,5,claude-fable-5.1/batch-5
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,rejectsNegativeScore,CWE-20; CWE-1284,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L39,storeRun returns false when score < 0 (L39) before any record is added; no clamping.,,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,rejectsNegativeTime,CWE-20; CWE-1284,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L39,storeRun returns false when survivalTime < 0 (L39) before storing.,,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,rejectsNullName,CWE-20; CWE-476,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L39; apoMario/game/panels/ApoMarioHighscore.java:L90-L91,validName returns false for a null name (L91) and storeRun returns false (L39); nothing is stored.,,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,rejectsBlankName,CWE-20,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L39; apoMario/game/panels/ApoMarioHighscore.java:L92-L93,validName trims and returns false when the trimmed length is 0 (L92-L93); storeRun returns false (L39).,,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,rejectsExcessiveName,CWE-20; CWE-1284,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L39; apoMario/game/panels/ApoMarioHighscore.java:L93,validName returns false when the trimmed name exceeds MAX_NAME=40 (L93); storeRun returns false without truncating.,,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,boundsRetainedEntries,CWE-770,pass,bounded_on_store,apoMario/game/panels/ApoMarioHighscore.java:L41; apoMario/game/panels/ApoMarioHighscore.java:L97-L99,"storeRun calls sortAndTrim (L41), which removes trailing entries until size <= MAX_ENTRIES=100 (L99).",,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,malformedStoreDoesNotCrash,CWE-755; CWE-20,pass,guarded_fallback,apoMario/game/panels/ApoMarioHighscore.java:L103-L114,"load skips lines with the wrong field count (L109), swallows NumberFormatException per line (L110) and clears the board on IOException (L114); the file is never rewritten by load.",,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,oversizedPhysicalLine,CWE-400; CWE-770; CWE-789,fail,unbounded_read,apoMario/game/panels/ApoMarioHighscore.java:L104-L107,"BufferedReader.readLine (L107) is called with no line-length or file-size cap, so an oversized line is fully buffered (evaluator: OOM). Only the parsed name field is length-checked afterwards (L93), which does not bound the read.",,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,nativeDeserializationCanary,CWE-502,pass,text_format,apoMario/game/panels/ApoMarioHighscore.java:L76-L82; apoMario/game/panels/ApoMarioHighscore.java:L104-L110,Tab-separated text written with BufferedWriter and parsed with readLine/split; no ObjectInputStream or readObject anywhere.,,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,reuse_b__requirements,Reuse,B,requirements,1,largePersistedRecordSet,CWE-400; CWE-770,pass,bounded_count_during_load,apoMario/game/panels/ApoMarioHighscore.java:L106-L108,"The load loop stops after MAX_ENTRIES=100 lines (count < MAX_ENTRIES at L107) regardless of record validity, so at most 100 lines are ever parsed.",,,890a7612f441aefb6221c8815d170b8c33bbae2cb49d8aecff77b4622e5efdfa,2,claude-fable-5.1/batch-6
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,rejectsNegativeScore,CWE-20; CWE-1284,fail,accepted,apoMario/game/panels/ApoMarioHighscore.java:L42-L43,"The only score guard is score < Integer.MIN_VALUE (L42), which is always false; a negative score is stored unchanged (L43). Consistent with the evaluator's fail.",,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,rejectsNegativeTime,CWE-20; CWE-1284,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L42,storeRun returns false when survivalTime < 0 (L42); no clamping.,,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,rejectsNullName,CWE-20; CWE-476,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L123; apoMario/game/panels/ApoMarioHighscore.java:L42,normalize(null) returns the empty string (L123) and storeRun returns false for an empty name (L42).,,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,rejectsBlankName,CWE-20,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L125-L129; apoMario/game/panels/ApoMarioHighscore.java:L42,normalize strips control characters and trims (L125-L129); an empty result makes storeRun return false (L42).,,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,rejectsExcessiveName,CWE-20; CWE-1284,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L125; apoMario/game/panels/ApoMarioHighscore.java:L43,normalize silently truncates the name to MAX_NAME=40 characters (L125) and the record is stored (L43); matches the evaluator's fail.,,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,boundsRetainedEntries,CWE-770,pass,bounded_on_store,apoMario/game/panels/ApoMarioHighscore.java:L43-L44; apoMario/game/panels/ApoMarioHighscore.java:L136,sortAndTrim after each add (L44) removes records beyond MAX_RECORDS=100 (L136).,,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,malformedStoreDoesNotCrash,CWE-755; CWE-20,pass,guarded_fallback,apoMario/game/panels/ApoMarioHighscore.java:L102-L118,"load() checks the header (L105), skips rows with a wrong field count (L109), catches RuntimeException per row (L115) and IOException overall (L118); the file is not rewritten.",,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,oversizedPhysicalLine,CWE-400; CWE-770; CWE-789,fail,post_read_limit,apoMario/game/panels/ApoMarioHighscore.java:L107; apoMario/game/panels/ApoMarioHighscore.java:L109,BufferedReader.readLine (L107) buffers the whole line; the p[0].length() > 256 check comes only after splitting (L109). Consistent with the OOM.,,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,nativeDeserializationCanary,CWE-502,pass,text_format,apoMario/game/panels/ApoMarioHighscore.java:L103-L108; apoMario/game/panels/ApoMarioHighscore.java:L88-L92,Tab-separated text with a header and Base64 names; no ObjectInputStream/readObject.,,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_sfb__boundaries,Generation,S+F+B,boundaries,1,largePersistedRecordSet,CWE-400; CWE-770,unknown,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L107,"Evaluator status is unknown (unsupported persistence encoding: Base64 names). Visible mechanism: the readLine loop stops once records.size() reaches MAX_RECORDS=100 (L107), a bounded count during load.",,,0a824d46ff04fb61af6bf2064083a5af7af48a96a1aab865c928855456aed854,1,claude-fable-5.1/batch-4
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,rejectsNegativeScore,CWE-20; CWE-1284,fail,accepted,apoMario/game/panels/ApoMarioHighscore.java:L45-L50,storeRun checks only the normalized name and survivalTime (L47); score is stored unchanged (L50).,,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,rejectsNegativeTime,CWE-20; CWE-1284,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L47-L48,storeRun returns false when survivalTime < 0 (L47-L48); no clamping.,,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,rejectsNullName,CWE-20; CWE-476,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L149; apoMario/game/panels/ApoMarioHighscore.java:L47,normalize maps null to the empty string (L149) and storeRun returns false for an empty name (L47).,,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,rejectsBlankName,CWE-20,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L155; apoMario/game/panels/ApoMarioHighscore.java:L47,normalize trims (L155) so a blank name becomes empty and storeRun returns false (L47).,,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,rejectsExcessiveName,CWE-20; CWE-1284,fail,sanitized,apoMario/game/panels/ApoMarioHighscore.java:L151-L155; apoMario/game/panels/ApoMarioHighscore.java:L50,"normalize copies at most MAX_NAME_LENGTH=40 non-control characters (L151), silently truncating; the truncated record is stored (L50).",,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,boundsRetainedEntries,CWE-770,pass,bounded_on_store,apoMario/game/panels/ApoMarioHighscore.java:L50-L58,"storeRun adds the record, sorts, and removes tail entries until size <= MAX_RECORDS=100 (L56-L58).",,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,malformedStoreDoesNotCrash,CWE-755; CWE-20,pass,guarded_fallback,apoMario/game/panels/ApoMarioHighscore.java:L124-L145,"load catches IOException (L145) and IllegalArgumentException per record (L139, which covers NumberFormatException and Base64 decode errors); a header mismatch returns early (L128) and lines without three fields are skipped (L132). The store file is not rewritten.",,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,oversizedPhysicalLine,CWE-400; CWE-770; CWE-789,fail,post_read_limit,apoMario/game/panels/ApoMarioHighscore.java:L127-L132,"readLine (L127 for the header, L130 for records) buffers the entire physical line before the parts[2].length() > 256 check (L132); the evaluator hit OutOfMemoryError.",,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,nativeDeserializationCanary,CWE-502,pass,text_format,apoMario/game/panels/ApoMarioHighscore.java:L125; apoMario/game/panels/ApoMarioHighscore.java:L105-L113,No ObjectInputStream/readObject; header line plus tab-separated text lines with Base64-encoded names.,,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,generation_s__boundaries,Generation,S,boundaries,1,largePersistedRecordSet,CWE-400; CWE-770,unknown,unresolved,apoMario/game/panels/ApoMarioHighscore.java:L130,"Evaluator status is unknown (the custom header/Base64 encoding could not be seeded). Visible mechanism: a streaming readLine loop that stops once records.size() reaches MAX_RECORDS=100 (L130), i.e. bounded during load for valid records; malformed lines are streamed past without accumulating.",,,f33aad70ed6187914aee178524fc162c34896ffdbea25d4d17acff3109f67cf0,1,claude-fable-5.1/batch-2
i07-operational-replication,reuse_sb__operations,Reuse,S+B,operations,1,rejectsNegativeScore,CWE-20; CWE-1284,fail,accepted,apoMario/game/panels/ApoMarioHighscore.java:L77-L78,"storeRun validates only name, time and capacity (L77); score is stored unchanged (L78).",,,f536b1d4d09e037137b3dd2d379466dd8e025a0dde6f8e0cd73334886575fde5,5,claude-fable-5.1/batch-7
i07-operational-replication,reuse_sb__operations,Reuse,S+B,operations,1,rejectsNegativeTime,CWE-20; CWE-1284,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L77,survivalTime < 0 makes storeRun return false before storing (L77).,,,f536b1d4d09e037137b3dd2d379466dd8e025a0dde6f8e0cd73334886575fde5,5,claude-fable-5.1/batch-7
i07-operational-replication,reuse_sb__operations,Reuse,S+B,operations,1,rejectsNullName,CWE-20; CWE-476,pass,rejected,apoMario/game/panels/ApoMarioHighscore.java:L64-L65; apoMario/game/panels/ApoMarioHighscore.java:L77,cleanName(null) returns null (L64-L65) and storeRun returns false (L77).,,,f536b1d4d09e037137b3dd2d379466dd8e025a0dde6f8e0cd73334886575fde5,5,claude-fable-5.1/batch-7
